ID,Category,Question,Problem Link,Companies,Difficulty,Status
105,Linked List,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/, Accolite Amazon Belzabar Brocade FactSet Flipkart MakeMyTrip Microsoft OATS Systems Oracle Samsung Synopsys Zoho,,
106,Linked List,Delete without Head node,https://www.geeksforgeeks.org/given-only-a-pointer-to-a-node-to-be-deleted-in-a-singly-linked-list-how-do-you-delete-it/, Amazon Goldman Sachs Kritikal Solutions Microsoft Samsung Visa,,
107,Linked List,Remove duplicates from an unsorted linked list,https://www.geeksforgeeks.org/remove-duplicates-from-an-unsorted-linked-list/, Amazon Intuit ,,
108,Linked List,Sort a linked list of 0s-1s-or-2s,https://www.geeksforgeeks.org/sort-a-linked-list-of-0s-1s-or-2s/,Microsoft Amazon MakeMyTrip,,
109,Linked List,Multiply two numbers represented linked lists,https://www.geeksforgeeks.org/multiply-two-numbers-represented-linked-lists/, Amazon,,
110,Linked List,Remove nth node from end of list,https://leetcode.com/problems/remove-nth-node-from-end-of-list/, Accolite Adobe Amazon Citicorp Epic Systems FactSet Hike MAQ Software Monotype Solutions Morgan Stanley OYO Rooms Qualcomm Samsung Snapdeal Flipkart,,
111,Linked List,Reorder List,https://leetcode.com/problems/reorder-list/, Amazon Microsoft OYO Rooms Intuit,,
112,Linked List,Detect and remove loop in a linked list,https://www.geeksforgeeks.org/detect-and-remove-loop-in-a-linked-list/, Accolite Amazon D-E-Shaw Hike Lybrate Mahindra Comviva MakeMyTrip MAQ Software OYO Rooms Paytm Qualcomm Samsung SAP Labs Snapdeal Veritas VMWare Walmart Adobe,,
113,Linked List,Write a Function to get the Intersection Point of two Linked Lists,https://www.geeksforgeeks.org/write-a-function-to-get-the-intersection-point-of-two-linked-lists/,Amazon,,
114,Linked List,Flatten a linked list with next and child pointers,https://www.geeksforgeeks.org/flatten-a-linked-list-with-next-and-child-pointers/,Google ,,
115,Linked List,Linked list in zig-zag fashion,https://www.geeksforgeeks.org/linked-list-in-zig-zag-fashion/,Micorsoft ,,
116,Linked List,Reverse a doubly linked list,https://practice.geeksforgeeks.org/problems/reverse-a-doubly-linked-list/1,Walmart,,
117,Linked List,Delete nodes which have a greater value on right side,https://www.geeksforgeeks.org/delete-nodes-which-have-a-greater-value-on-right-side/,Amazon,,
118,Linked List,Segregate even and odd Elements in a Linked List,https://www.geeksforgeeks.org/segregate-even-and-odd-elements-in-a-linked-list/,Walmart,,
119,Linked List,Point to next higher value node in a linked list with an Arbitrary Pointer,https://www.geeksforgeeks.org/point-to-next-higher-value-node-in-a-linked-list-with-an-arbitrary-pointer/,GeekyAnts ,,
120,Linked List,Rearrange a given linked list in place,https://www.geeksforgeeks.org/rearrange-a-given-linked-list-in-place/,Ola Uber,,
121,Linked List,Sort Biotonic Doubly Linked Lists,https://www.geeksforgeeks.org/sort-biotonic-doubly-linked-list/,Morgan Stanley,,
122,Linked List,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Microsoft+ Ola+ eBay,,
123,Linked List,Merge sort for linked list,https://www.geeksforgeeks.org/merge-sort-for-linked-list/, Accolite Adobe Amazon MAQ Software Microsoft Paytm Veritas,,
124,Linked List,Quicksort on singly-linked list,https://www.geeksforgeeks.org/quicksort-on-singly-linked-list/, Paytm,,
125,Linked List,Sum of two linked lists,https://www.geeksforgeeks.org/sum-of-two-linked-lists/, Accolite Amazon Flipkart MakeMyTrip Microsoft Morgan Stanley Qualcomm Snapdeal,,
126,Linked List,Flattening a linked list,https://www.geeksforgeeks.org/flattening-a-linked-list/, 24*7 Innovation Labs Amazon Drishti-Soft Flipkart Goldman Sachs Microsoft Paytm Payu Qualcomm Snapdeal Visa,,
127,Linked List,Clone a linked list with next and random Pointer,https://www.geeksforgeeks.org/a-linked-list-with-next-and-arbit-pointer/,Triology,,
128,Linked List,Subtract two numbers represented as linked lists,https://www.geeksforgeeks.org/subtract-two-numbers-represented-as-linked-lists/,Amazon Goldman Sachs,,
129,Linked List,,,,,
130,Stacks & Queues,Implement two stacks in an Array,https://www.geeksforgeeks.org/implement-two-stacks-in-an-array/, 24*7 Innovation Labs Microsoft Samsung Snapdeal,,
131,Stacks & Queues,Evaluation of Postfix Expression,https://www.geeksforgeeks.org/stack-set-4-evaluation-postfix-expression/,Amazon + Google + Facebook,,
132,Stacks & Queues,Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues/,Facebook,,
133,Stacks & Queues,Queue Reversal,https://practice.geeksforgeeks.org/problems/queue-reversal/1,Amazon + Morgain Stanley,,
134,Stacks & Queues,Implement Stack Queue using Deque,https://www.geeksforgeeks.org/implement-stack-queue-using-deque/,Microsoft +Atlassian ,,
135,Stacks & Queues,Reverse first k elements of queue,https://practice.geeksforgeeks.org/problems/reverse-first-k-elements-of-queue/1,Microsoft + Amdocs,,
136,Stacks & Queues,Design Stack with Middle Operation,https://www.geeksforgeeks.org/design-a-stack-with-find-middle-operation/,MaQ Software,,
137,Stacks & Queues,Infix to Postfix,https://www.geeksforgeeks.org/stack-set-2-infix-to-postfix/,Amazon + Samsung + Paytm + Vmware inc,,
138,Stacks & Queues,Design and Implement Special stack,https://www.geeksforgeeks.org/design-and-implement-special-stack-data-structure/,Amazon Google Microsoft Visa Goldman Sachs,,
139,Stacks & Queues,Longest Valid String,https://www.geeksforgeeks.org/length-of-the-longest-valid-substring/, Google Microsoft,,
140,Stacks & Queues,Find if an expression has duplicate parenthesis or not,https://www.geeksforgeeks.org/find-expression-duplicate-parenthesis-not/,Flipkart Oracle OYO Rooms Snapdeal Walmart Yatra.com Microsoft Google,,
141,Stacks & Queues,Stack permutations check if an array is stack permutation of other,https://www.geeksforgeeks.org/stack-permutations-check-if-an-array-is-stack-permutation-of-other/,Visa,,
142,Stacks & Queues,Count natural numbers whose permutation greater number,https://www.geeksforgeeks.org/count-natural-numbers-whose-permutation-greater-number/,Amazon,,
143,Stacks & Queues,Sort a stack using Recursion,https://www.geeksforgeeks.org/sort-a-stack-using-recursion/,Amazon Goldman Sachs IBM Intuit Kuliza Yahoo Microsoft,,
144,Stacks & Queues,Queue based approach for first non repeating character in a stream,https://www.geeksforgeeks.org/queue-based-approach-for-first-non-repeating-character-in-a-stream/, Microsoft Flipkart,,
145,Stacks & Queues,The Celebrity Problem,https://practice.geeksforgeeks.org/problems/the-celebrity-problem/1,Google + Visa + Apple,,
146,Stacks & Queues,Next larger Element,https://practice.geeksforgeeks.org/problems/next-larger-element-1587115620/1,Visa,,
147,Stacks & Queues,Distance of nearest cell,https://practice.geeksforgeeks.org/problems/distance-of-nearest-cell-having-1-1587115620/1,Flipkar + Facebook,,
148,Stacks & Queues,Rotten-oranges,https://practice.geeksforgeeks.org/problems/rotten-oranges2536/1,Facebook,,
149,Stacks & Queues,Next smaller element,https://www.geeksforgeeks.org/next-smaller-element/,Codenation,,
150,Stacks & Queues,Circular-tour,https://practice.geeksforgeeks.org/problems/circular-tour/1,Codenation Flipkart,,
151,Stacks & Queues,Efficiently implement k-stacks single array,https://www.geeksforgeeks.org/efficiently-implement-k-stacks-single-array/,Flipkart,,
152,Stacks & Queues,The celebrity problem,http://geeksforgeeks.org/the-celebrity-problem/,Google + Visa + Apple,,
153,Stacks & Queues,Iterative tower of hanoi,https://www.geeksforgeeks.org/iterative-tower-of-hanoi/, Microsoft Flipkart,,
154,Stacks & Queues,Find the maximum of minimums for every window size in a given array,https://www.geeksforgeeks.org/find-the-maximum-of-minimums-for-every-window-size-in-a-given-array/, Amazon Microsoft Flipkart,,
155,Stacks & Queues,lru cache implementation,https://www.geeksforgeeks.org/lru-cache-implementation/,Microsoft + Uber + Alibaba,,
156,Stacks & Queues,Find a tour that visits all stations,https://www.geeksforgeeks.org/find-a-tour-that-visits-all-stations/,Uber,,
157,Greedy,Activity selection problem greedy algo,https://www.geeksforgeeks.org/activity-selection-problem-greedy-algo-1/, Facebook Morgan Stanley Flipkart,,
